name,url,logo,likes,description
Aespa,https://en.wikipedia.org/wiki/Aespa,kpop/aespa.webp,0,"Aespa is a South Korean girl group formed by SM Entertainment. The group consists of four members: Karina, Giselle, Winter, and Ningning. The group is known for popularizing the metaverse concept and hyperpop music in K-pop."
BabyMonster,https://en.wikipedia.org/wiki/Babymonster,kpop/babymon.webp,0,"Babymonster, also referred to as Baemon, is a South Korean girl group formed by YG Entertainment, consisting of seven members: Ruka, Pharita, Asa, Ahyeon, Rami, Rora, and Chiquita. They debuted as a full ensemble on April 1, 2024, with their eponymous extended play Babymons7er."
IVE,https://en.wikipedia.org/wiki/Ive_(group),kpop/ive.webp,0,"Ive is a South Korean girl group formed by Starship Entertainment. The group is composed of six members: Gaeul, An Yu-jin, Rei, Jang Won-young, Liz, and Leeseo."
Le Sserafim,https://en.wikipedia.org/wiki/Le_Sserafim,kpop/lsrfm.webp,0,"Le Sserafim is a South Korean girl group formed by Source Music, a sub-label of Hybe. The group consists of five members: Sakura, Kim Chaewon, Huh Yunjin, Kazuha, and Hong Eunchae. Originally a sextet ensemble, member Kim Garam departed from the group in July 2022."
NewJeans,https://en.wikipedia.org/wiki/NewJeans,kpop/njs.webp,0,"NewJeans, also known as NJZ, is a South Korean girl group formed by ADOR, a sub-label of Hybe. The group is composed of five members: Minji, Hanni, Danielle, Haerin, and Hyein. Mainly produced by Min Hee-jin, they are known for their girl next door image and musical stylings reminiscent of the 1990s and 2000s."
XG,https://en.wikipedia.org/wiki/XG_(group),kpop/xg.webp,0,"XG is a Japanese girl group based in South Korea. The group was formed by Xgalx, a subsidiary of Avex. The group is composed of seven members: Jurin, Chisa, Hinata, Juria, Cocona, Maya, and Harvey. They made their debut on March 18, 2022, with the release of the digital single ""Tippy Toes""."
Blackpink,https://en.wikipedia.org/wiki/Blackpink,kpop/bp.webp,0,"Blackpink is a South Korean girl group formed by YG Entertainment. The group is composed of four members: Jisoo, Jennie, Rosé, and Lisa."
I-dle,https://en.wikipedia.org/wiki/I-dle,kpop/gidle.webp,0,"I-dle, formerly known as I-dle, is a South Korean girl group formed by Cube Entertainment in 2018. The group consists of five members: Miyeon, Minnie, Soyeon, Yuqi, and Shuhua. Originally a sextet ensemble, member Soojin departed the group on August 14, 2021."
Twice,https://en.wikipedia.org/wiki/Twice,kpop/twice.webp,0,"Twice is a South Korean girl group formed by JYP Entertainment. The group is composed of nine members: Nayeon, Jeongyeon, Momo, Sana, Jihyo, Mina, Dahyun, Chaeyoung, and Tzuyu."
Illit,https://en.wikipedia.org/wiki/Illit,kpop/illit.webp,0,"Illit is a South Korean girl group formed by Belift Lab, a sub-label of Hybe, through the JTBC 2023 survival competition show R U Next?. The group consists of five members – Yunah, Minju, Moka, Wonhee, and Iroha. The group debuted on March 25, 2024, with the extended play Super Real Me."